first_prot,Gene names,Protein names,Peptides,Potential contaminant,Razor unique peptides,Unique peptides,Molweight kDa,Score,Qvalue,Sequence coverage,MSMS Count,Protein IDs,Majority protein Ids
Q9NY61,AATF,Protein AATF,9,,9,9,63.132,78.92,0.0,30.4,68,Q9NY61;A0A087WTH8;A0A087WWS8;A0A087WW41,Q9NY61
P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",15,,15,15,56.438,30.521,0.0,40.8,49,P80404;H3BRN4;H3BNQ7;H3BPW8;H3BRJ1;H3BMJ9;H3BRT1,P80404;H3BRN4;H3BNQ7
Q99758,ABCA3,ATP-binding cassette sub-family A member 3,2,,2,2,191.36,3.1028,0.00049358,1.4,4,Q99758;H0Y3H2,Q99758;H0Y3H2
Q9NRK6,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",13,,12,12,79.147,37.36,0.0,19.0,49,Q9NRK6,Q9NRK6
Q9NP58,ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial",15,,15,15,93.884,73.55,0.0,26.4,74,Q9NP58;Q9NP58-4;H7BXK9,Q9NP58;Q9NP58-4;H7BXK9
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",16,,16,16,82.64,48.944,0.0,23.8,98,O75027;O75027-2;B4DGL8;A0A087WW65;O75027-3;E9PJR8;E9PNQ5,O75027;O75027-2;B4DGL8;A0A087WW65;O75027-3
Q9NUT2,ABCB8,"ATP-binding cassette sub-family B member 8, mitochondrial",13,,12,12,79.988,19.984,0.0,19.3,30,Q9NUT2;Q9NUT2-5;Q9NUT2-4;Q9NUT2-2;Q9NUT2-3;C9JYI3;C9JTY4;H7C5K9,Q9NUT2;Q9NUT2-5;Q9NUT2-4;Q9NUT2-2;Q9NUT2-3
P33527,ABCC1,Multidrug resistance-associated protein 1,27,,26,25,171.59,48.555,0.0,19.9,116,P33527;I3L4X2;P33527-9;A0A0A0MS99;P33527-2;P33527-3;P33527-5;P33527-4;P33527-6;P33527-7;P33527-8,P33527;I3L4X2;P33527-9;A0A0A0MS99;P33527-2;P33527-3;P33527-5;P33527-4;P33527-6;P33527-7;P33527-8
Q5T3U5,ABCC10,Multidrug resistance-associated protein 7,5,,5,5,161.63,5.2651,0.0,4.1,6,Q5T3U5;Q5T3U5-2;D6R9B3,Q5T3U5;Q5T3U5-2
O15439,ABCC4,Multidrug resistance-associated protein 4,35,,35,34,149.52,123.14,0.0,30.2,108,O15439;O15439-2;O15439-3;O15439-4,O15439;O15439-2;O15439-3
P33897,ABCD1,ATP-binding cassette sub-family D member 1,11,,11,11,82.936,40.699,0.0,18.8,114,P33897;Q9UBJ2;A6NEP8,P33897
P28288,ABCD3,ATP-binding cassette sub-family D member 3,22,,22,22,75.475,59.764,0.0,40.1,238,P28288;P28288-2;P28288-3,P28288;P28288-2
O14678,ABCD4,ATP-binding cassette sub-family D member 4,2,,2,2,68.597,3.0213,0.00061402,5.0,3,O14678;H0YJ82;H0YCY9;H0YJ78,O14678;H0YJ82;H0YCY9;H0YJ78
P61221,ABCE1,ATP-binding cassette sub-family E member 1,36,,36,36,67.314,323.31,0.0,60.4,666,P61221;D6R9I9;D6RGF4;H0Y990,P61221;D6R9I9
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1,37,,37,36,95.925,263.24,0.0,46.9,621,Q8NE71;Q8NE71-2;H0YGW7;Q5STZ8;A0A0G2JIC2;F5GYK6,Q8NE71;Q8NE71-2;H0YGW7
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,31,,31,31,71.289,60.173,0.0,44.1,316,Q9UG63;Q9UG63-2;C9JHK9;C9JZV3,Q9UG63;Q9UG63-2;C9JHK9;C9JZV3
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3,27,,27,27,79.744,118.7,0.0,39.9,335,Q9NUQ8;Q9NUQ8-2;F8WCU6,Q9NUQ8;Q9NUQ8-2
Q9NUJ1,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",14,,14,4,33.932,65.51,0.0,54.2,295,Q9NUJ1;Q9NUJ1-3,Q9NUJ1
Q8NFV4,ABHD11,Alpha/beta hydrolase domain-containing protein 11,17,,17,17,34.69,125.37,0.0,67.0,463,Q8NFV4;Q8NFV4-4;Q8NFV4-6;C9J7Q4;H7BZ58;H0YC52;H7C396;Q8NFV4-3;Q8NFV4-5;Q8NFV4-2,Q8NFV4;Q8NFV4-4;Q8NFV4-6
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,16,,16,16,45.096,73.177,0.0,50.5,152,Q8N2K0;Q8N2K0-2;Q8N2K0-3;I3L294;I3L1V0;Q5T712;I3L440;I3L380,Q8N2K0;Q8N2K0-2;Q8N2K0-3
Q96IU4,ABHD14B,Alpha/beta hydrolase domain-containing protein 14B,10,,10,10,22.345,71.376,0.0,63.3,266,Q96IU4;F8W9U3;B4DQI4;Q96IU4-2,Q96IU4;F8W9U3;B4DQI4
O95870,ABHD16A,Abhydrolase domain-containing protein 16A,21,,21,21,63.243,56.696,0.0,39.2,203,O95870;A0A0G2JJD3;O95870-2;A0A0G2JI89;F2Z3H2;F2Z3G6,O95870;A0A0G2JJD3;O95870-2;A0A0G2JI89
Q8WTS1,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,3,,3,3,39.095,7.7906,0.0,12.3,7,Q8WTS1;H7BZY9;F8W7B5,Q8WTS1;H7BZY9
Q8IZP0-3,ABI1,Abl interactor 1,17,,17,15,49.376,73.784,0.0,54.6,246,Q8IZP0-3;Q8IZP0-5;Q8IZP0-9;Q8IZP0;Q8IZP0-2;A0A0A0MRT6;Q8IZP0-4;Q8IZP0-6;Q8IZP0-12;B6VEX4;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-11,Q8IZP0-3;Q8IZP0-5;Q8IZP0-9;Q8IZP0;Q8IZP0-2;A0A0A0MRT6;Q8IZP0-4;Q8IZP0-6;Q8IZP0-12;B6VEX4;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-11
Q9NYB9,ABI2,Abl interactor 2,11,,9,9,55.663,27.518,0.0,27.7,57,Q9NYB9;Q9NYB9-2;E7EW77;E7EP65;A0A0C4DG21;F8WAL6;Q9NYB9-4;B7Z836;E9PEZ7;Q9NYB9-3;H7C3Q7;H0Y6B5;F8WBL5;F8WEB9;E7EUA1;F8WAU3;F8WCD7;F8WAZ8,Q9NYB9;Q9NYB9-2;E7EW77;E7EP65;A0A0C4DG21;F8WAL6;Q9NYB9-4;B7Z836;E9PEZ7;Q9NYB9-3
Q9P2A4,ABI3,ABI gene family member 3,11,,11,11,39.035,29.131,0.0,42.6,54,Q9P2A4;Q9P2A4-2;I3L3W4;I3L1X2,Q9P2A4;Q9P2A4-2
Q7Z7G0,ABI3BP,Target of Nesh-SH3,12,,12,4,118.64,16.835,0.0,14.0,31,Q7Z7G0;D3YTG3;Q5JPC9;H7C4X4;H0YEA0,Q7Z7G0;D3YTG3
P00519,ABL1,Tyrosine-protein kinase ABL1,7,,7,5,122.87,8.8733,0.0,8.1,28,P00519;P00519-2,P00519;P00519-2
P42684,ABL2,Abelson tyrosine-protein kinase 2,4,,2,2,128.34,3.2377,0.0004977,3.8,6,P42684;P42684-6;P42684-7;P42684-5;P42684-4;P42684-8;P42684-10;P42684-2;P42684-3,P42684;P42684-6;P42684-7;P42684-5;P42684-4;P42684-8;P42684-10;P42684-2;P42684-3
O14639,ABLIM1,Actin-binding LIM protein 1,24,,24,5,87.687,93.978,0.0,35.5,310,O14639;O14639-2;F8W8M4;A0A0A0MRL6;O14639-6,O14639;O14639-2;F8W8M4;A0A0A0MRL6;O14639-6
Q12979,ABR,Active breakpoint cluster region-related protein,10,,9,5,97.597,14.346,0.0,13.2,32,Q12979;A0A0G2JQ41;Q12979-4;Q12979-2;B7Z683;I3L2P5;A0A0G2JRJ1;I3L3W0;I3NI05;I3L1U8;I3L379,Q12979;A0A0G2JQ41;Q12979-4;Q12979-2;B7Z683
Q9P1F3,ABRACL,Costars family protein ABRACL,4,,4,4,9.0564,39.233,0.0,76.5,76,Q9P1F3;Q5SZC9,Q9P1F3
Q9ULW3,ABT1,Activator of basal transcription 1,8,,8,8,31.079,4.0933,0.00013077,26.8,11,Q9ULW3,Q9ULW3
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",18,,18,18,44.292,178.05,0.0,64.4,521,P09110;C9JDE9;H7C131;H0Y4D4;P09110-2;B4DVF4;F2Z2Q6;F2Z3P7,P09110;C9JDE9;H7C131;H0Y4D4;P09110-2
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",28,,28,28,41.924,323.31,0.0,80.6,756,P42765;A0A0B4J2A4;K7EME0;K7EJ68;K7EJB1;K7ER88,P42765;A0A0B4J2A4;K7EME0
Q13085,ACACA,Acetyl-CoA carboxylase 1;Biotin carboxylase,52,,52,44,265.55,115.35,0.0,27.8,240,Q13085;Q13085-4;Q13085-3;Q13085-2;Q59FY4;A0A087X0W4;S4R3S7;A0A0C4DGT1;A0A087WWN5;A0A0G2JM60;A0A087X2F8;A0A087X126;A0A087WVR6;A0A087WYS8;A0A087WYK6,Q13085;Q13085-4;Q13085-3;Q13085-2
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10,30,,30,29,118.83,85.029,0.0,34.3,119,Q6JQN1;Q6JQN1-5;Q6JQN1-2;F8W1I9;Q6JQN1-3;Q6JQN1-4;F8W179;D6RFF6;F8VXK4;F8W0Q4,Q6JQN1;Q6JQN1-5;Q6JQN1-2;F8W1I9
Q709F0,ACAD11,Acyl-CoA dehydrogenase family member 11,6,,6,6,87.282,4.7967,0.0,7.2,19,Q709F0;Q709F0-3;F8WEV0;D6RDI8;Q709F0-2,Q709F0;Q709F0-3;F8WEV0;D6RDI8;Q709F0-2
Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",20,,20,20,45.069,56.265,0.0,50.4,166,Q9UKU7;Q9UKU7-3;Q9UKU7-2;E9PLS3,Q9UKU7;Q9UKU7-3;Q9UKU7-2
Q9H845,ACAD9,"Acyl-CoA dehydrogenase family member 9, mitochondrial",39,,39,39,68.76,224.22,0.0,64.4,437,Q9H845;H0Y8Z9;D6RCD8,Q9H845;H0Y8Z9
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",25,,25,25,46.588,189.08,0.0,55.8,424,P11310;Q5T4U5;P11310-2;B7Z9I1;E9PJM9;E9PRX4;H0YDT5,P11310;Q5T4U5;P11310-2;B7Z9I1
P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",16,,16,16,44.297,63.59,0.0,53.6,150,P16219;E9PE82,P16219;E9PE82
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",13,,13,13,47.485,56.13,0.0,43.8,159,P45954;P45954-2,P45954;P45954-2
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",43,,43,43,70.389,323.31,0.0,74.7,1199,P49748;P49748-3;P49748-2;G3V1M7;K7EQP4;J3QRJ8;J3QKU9;K7EJW8;J3KSR4;J3KS89;J9JID6;K7EMF8,P49748;P49748-3;P49748-2
P16112,ACAN,Aggrecan core protein;Aggrecan core protein 2,1,,1,1,250.19,3.5298,0.00050659,0.9,2,P16112;P16112-3;Q6PID9;E7ENV9;A0A087X1T7;H0YM81;E7EX88;P16112-2,P16112;P16112-3;Q6PID9;E7ENV9;A0A087X1T7;H0YM81;E7EX88;P16112-2
Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",7,,7,7,81.535,29.478,0.0,12.4,10,Q15027;I3L268;I3L0K9,Q15027
Q15057,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",21,,21,20,88.028,51.317,0.0,30.3,137,Q15057;A0A087X1H5;H7C3Q8;H7C3K3;C9J8L1;Q96P50-4;Q96P50-1,Q15057;A0A087X1H5
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",28,,28,28,45.199,323.31,0.0,68.6,967,P24752;H0YEL7;P24752-2;E9PRQ6;E9PKF3,P24752
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",20,,20,20,41.35,222.7,0.0,69.3,380,Q9BWD1;Q9BWD1-2,Q9BWD1;Q9BWD1-2
Q9H3P7,ACBD3,Golgi resident protein GCP60,24,,23,22,60.593,211.15,0.0,49.4,421,Q9H3P7;REV__Q9H3P7,Q9H3P7
Q5T8D3-3,ACBD5,Acyl-CoA-binding domain-containing protein 5,11,,11,11,58.977,31.029,0.0,25.3,70,Q5T8D3-3;B7Z2R7;Q5T8D3-2;Q5T8D3;Q5T8D3-4;X6RDD7;Q5T8E0;A0A087X0B8,Q5T8D3-3;B7Z2R7;Q5T8D3-2;Q5T8D3;Q5T8D3-4;X6RDD7;Q5T8E0
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6,2,,2,2,31.15,7.6397,0.0,9.9,3,Q9BR61,Q9BR61
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,5,,5,5,9.7902,11.771,0.0,63.6,20,Q8N6N7,Q8N6N7
Q96AP0,ACD,Adrenocortical dysplasia protein homolog,2,,2,2,57.733,2.2377,0.0024561,4.2,1,Q96AP0;R4GNJ5;A0A0C4DGT6;Q96AP0-2,Q96AP0;R4GNJ5;A0A0C4DGT6;Q96AP0-2
P12821,ACE,"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form",6,,6,5,149.71,12.628,0.0,5.8,35,P12821;A0A0A0MSN4;P12821-2;F6X3S4;P12821-4;P12821-3;J3KTB8;J3QLR4;J3KSQ5;J3KS28,P12821;A0A0A0MSN4;P12821-2;F6X3S4;P12821-4;P12821-3
S4R3H4,ACIN1,,57,,57,2,145.44,317.55,0.0,46.0,1130,S4R3H4,S4R3H4
P25106,ACKR3,Atypical chemokine receptor 3,1,,1,1,41.492,2.4615,0.0014245,3.9,2,P25106,P25106
P53396,ACLY,ATP-citrate synthase,62,,62,62,120.84,323.31,0.0,59.9,1318,P53396;P53396-2;P53396-3;K7ESG8;K7EIE7,P53396;P53396-2;P53396-3
P21399,ACO1,Cytoplasmic aconitate hydratase,44,,44,44,98.398,252.85,0.0,57.3,801,P21399;O00408;F5H2R8;F5H143;F5H3Z7;E9PEF1;O00408-5;O00408-4;O00408-3,P21399
Q99798,ACO2,"Aconitate hydratase, mitochondrial",51,,51,51,85.424,323.31,0.0,72.4,1736,Q99798;A2A274,Q99798;A2A274
Q86TX2,ACOT1;ACOT2,"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial",24,,24,22,46.277,91.194,0.0,66.5,166,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;P49753-2,Q86TX2;A0A087X0W7;P49753;G3V4F2;A0A087WT95;P49753-2
Q8WXI4,ACOT11,Acyl-coenzyme A thioesterase 11,3,,3,3,68.491,2.6137,0.0013177,4.9,5,Q8WXI4;Q8WXI4-2,Q8WXI4;Q8WXI4-2
Q9NPJ3,ACOT13,"Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed",5,,5,5,14.96,24.478,0.0,43.6,156,Q9NPJ3;Q9NPJ3-2,Q9NPJ3;Q9NPJ3-2
O00154-4,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,17,,17,2,37.419,81.742,0.0,61.5,321,O00154-4;O00154;O00154-6;O00154-7;K7EKP8;O00154-2;O00154-3,O00154-4;O00154;O00154-6;O00154-7;K7EKP8;O00154-2;O00154-3
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,10,,10,10,35.914,31.119,0.0,27.9,66,O14734;H7C5A7;E9PJN0;E9PRD4;H0Y698;Q9BR14;E9PMC4;E9PIS4,O14734;H7C5A7;E9PJN0
Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",23,,23,23,49.901,138.39,0.0,49.7,453,Q9Y305;Q9Y305-2;Q9Y305-4;Q9Y305-3;H7C5Q2;C9J7L8,Q9Y305;Q9Y305-2;Q9Y305-4;Q9Y305-3;H7C5Q2
Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,23,,23,23,74.423,144.99,0.0,45.2,266,Q15067;Q15067-2;Q15067-3;K7ELT1;I3L0T4;K7ENF1;I3L2U4;I3L4S5;K7ESC7,Q15067;Q15067-2;Q15067-3
Q99424,ACOX2,Peroxisomal acyl-coenzyme A oxidase 2;Acyl-coenzyme A oxidase,8,,8,8,76.826,15.67,0.0,15.3,12,Q99424;C9J0G0;H7C4Q2;C9JY29,Q99424;C9J0G0
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,18,,18,18,77.628,69.444,0.0,36.4,67,O15254;O15254-2;D6RJ89,O15254;O15254-2
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,11,,11,6,18.042,149.17,0.0,51.9,251,P24666;G5E9R5;P24666-4;F2Z2Q9;P24666-3,P24666;G5E9R5;P24666-4
P24666-2,ACP1,Low molecular weight phosphotyrosine protein phosphatase,6,,1,1,17.977,5.3635,0.0,27.8,25,P24666-2;D3YTI2,P24666-2;D3YTI2
P11117,ACP2,Lysosomal acid phosphatase,14,,14,14,48.344,31.013,0.0,35.7,192,P11117;E9PQY3;E9PHY0;B7Z7D2;E9PP23;E9PKW9;E9PQW9;B7Z6U3;P11117-2,P11117;E9PQY3;E9PHY0;B7Z7D2;E9PP23
P13686,ACP5,Tartrate-resistant acid phosphatase type 5,1,,1,1,36.598,3.0292,0.00061418,5.8,3,P13686;K7EIP0;K7ESF2;K7EJD9,P13686;K7EIP0;K7ESF2;K7EJD9
X5D289,ACP6,Lysophosphatidic acid phosphatase type 6,6,,6,6,48.886,12.061,0.0,16.1,48,X5D289;Q9NPH0;Q9NPH0-2;A0A087WW36;V9GZ71;A0A0A0MS36;A0A087WYU6;A0A087WWB7,X5D289;Q9NPH0;Q9NPH0-2;A0A087WW36;V9GZ71;A0A0A0MS36
P15309,ACPP,Prostatic acid phosphatase;PAPf39,9,,9,9,44.566,27.243,0.0,20.7,16,P15309;P15309-2;P15309-3;E9PFE6,P15309;P15309-2;P15309-3;E9PFE6
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial",26,,26,26,68.124,228.09,0.0,51.5,332,Q96CM8;Q96CM8-3;Q96CM8-2;E9PF16;Q96CM8-4;D6RF87;H0Y8N1,Q96CM8;Q96CM8-3;Q96CM8-2;E9PF16;Q96CM8-4
Q4G176,ACSF3,"Acyl-CoA synthetase family member 3, mitochondrial",22,,22,22,64.129,58.369,0.0,44.4,190,Q4G176;F5H5A1;F5H755;F5H362;H0YGC7;F5H2G6;F5H3B2;F5GX20;H0YH37;H0YGJ0,Q4G176;F5H5A1;F5H755;F5H362
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1,33,,33,30,77.942,95.985,0.0,52.3,311,P33121;E7EPM6;P33121-2;P33121-3;B7Z3Z9;D6RER0;H0Y9U7;H0Y9Z9;D6RG07;Q9UKU0-7,P33121;E7EPM6;P33121-2;P33121-3;B7Z3Z9;D6RER0
O95573,ACSL3,Long-chain-fatty-acid--CoA ligase 3,29,,29,27,80.419,126.35,0.0,46.9,349,O95573;F5GWH2;F5H062;C9JC11,O95573
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,29,,27,27,79.187,75.265,0.0,48.9,162,O60488;O60488-2;H0Y9A0;D6RF95;D6RFW9;D6RDA8;D6RD96,O60488;O60488-2
Q9ULC5,ACSL5,Long-chain-fatty-acid--CoA ligase 5,15,,13,12,75.99,31.618,0.0,30.0,23,Q9ULC5;Q9ULC5-3;Q9ULC5-4;C9J8C7,Q9ULC5;Q9ULC5-3;Q9ULC5-4
Q53FZ2,ACSM3,"Acyl-coenzyme A synthetase ACSM3, mitochondrial",11,,11,11,66.152,44.798,0.0,28.7,21,Q53FZ2;H3BSM0;Q53FZ2-2;H3BVD5;H3BT38;H3BV29;H3BR33;H3BUF2,Q53FZ2;H3BSM0;Q53FZ2-2
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",23,,23,23,74.856,144.29,0.0,45.3,133,Q9NUB1;Q9NUB1-2;Q9NUB1-3;Q9NUB1-4;Q5TF43,Q9NUB1;Q9NUB1-2;Q9NUB1-3;Q9NUB1-4
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",15,,15,15,78.579,29.402,0.0,21.8,101,Q9NR19;Q9NR19-2;F8WCJ4;C9IYL0;B4DEH9;C9JY31;C9JXD9;F8WDJ9;C9J7L5,Q9NR19;Q9NR19-2
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",21,,21,21,74.777,81.293,0.0,36.3,121,Q9H6R3;A0A0B4J1R2;Q9H6R3-2;H0YII9;F8VZB4,Q9H6R3;A0A0B4J1R2;Q9H6R3-2
P62736,ACTA2;ACTG2,"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",45,,21,3,42.009,323.31,0.0,99.5,3296,P62736;P63267;P63267-2;F6UVQ4;F6QUT6;C9JFL5;F8WB63;B8ZZJ2;F8WCH0,P62736;P63267;P63267-2
P60709,ACTB,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",49,,3,0,41.736,127.82,0.0,99.5,604,P60709,P60709
Q562R1,ACTBL2,Beta-actin-like protein 2,14,,2,2,42.003,5.3758,0.0,33.2,57,Q562R1,Q562R1
I3L3R2,ACTG1,,20,,1,0,18.031,1.8496,0.0055796,100.0,1,I3L3R2,I3L3R2
K7EM38,ACTG1,,18,,2,2,14.522,6.4404,0.0,100.0,24,K7EM38,K7EM38
P63261,ACTG1,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",49,,49,0,41.792,323.31,0.0,99.5,14086,P63261;I3L3I0;I3L1U9;J3KT65,P63261;I3L3I0;I3L1U9
O96019,ACTL6A,Actin-like protein 6A,21,,21,17,47.46,216.99,0.0,61.8,427,O96019;O96019-2;H7C5S0;C9JQT2,O96019;O96019-2
P12814,ACTN1,Alpha-actinin-1,82,,54,1,103.06,323.31,0.0,88.7,2955,P12814,P12814
P35609-2,ACTN2,Alpha-actinin-2,23,,2,2,103.92,2.2127,0.0026863,23.4,3,P35609-2;P35609;F6THM6,P35609-2;P35609;F6THM6
Q08043,ACTN3,Alpha-actinin-3,20,,3,3,103.24,5.9759,0.0,18.8,3,Q08043;A0A087WSZ2,Q08043;A0A087WSZ2
K7EJH8,ACTN4,,18,,1,1,21.43,4.4353,0.00013287,74.2,9,K7EJH8,K7EJH8
O43707,ACTN4,Alpha-actinin-4,86,,86,46,104.85,323.31,0.0,83.2,4992,O43707;O43707-2;F5GXS2;O43707-3;H7C144;K7EP19;D6RH00,O43707;O43707-2;F5GXS2;O43707-3
Q9NZ32,ACTR10,Actin-related protein 10,15,,15,15,46.306,38.567,0.0,47.7,105,Q9NZ32;V9GYX7;G3V2Q5;G3V5Y4;F6S9Y6;G3V524;H0YJD9;H0YJE8;G3V4K6,Q9NZ32;V9GYX7
P61163,ACTR1A,Alpha-centractin,27,,27,14,42.613,227.71,0.0,75.0,550,P61163;R4GMT0,P61163;R4GMT0
